iso_code,continent,location,date,total_cases,new_cases
USA,North America,United States,43852,1,
USA,North America,United States,43853,1,0
USA,North America,United States,43854,2,1
USA,North America,United States,43855,2,0
USA,North America,United States,43856,5,3
USA,North America,United States,43857,5,0
USA,North America,United States,43858,5,0
USA,North America,United States,43859,6,1
USA,North America,United States,43860,6,0
USA,North America,United States,43861,8,2
USA,North America,United States,43862,8,0
USA,North America,United States,43863,8,0
USA,North America,United States,43864,11,3
USA,North America,United States,43865,11,0
USA,North America,United States,43866,11,0
USA,North America,United States,43867,12,1
USA,North America,United States,43868,12,0
USA,North America,United States,43869,12,0
USA,North America,United States,43870,12,0
USA,North America,United States,43871,12,0
USA,North America,United States,43872,13,1
USA,North America,United States,43873,13,0
USA,North America,United States,43874,14,1
USA,North America,United States,43875,14,0
USA,North America,United States,43876,14,0
USA,North America,United States,43877,14,0
USA,North America,United States,43878,14,0
USA,North America,United States,43879,14,0
USA,North America,United States,43880,14,0
USA,North America,United States,43881,14,0
USA,North America,United States,43882,16,2
USA,North America,United States,43883,16,0
USA,North America,United States,43884,16,0
USA,North America,United States,43885,16,0
USA,North America,United States,43886,16,0
USA,North America,United States,43887,16,0
USA,North America,United States,43888,17,1
USA,North America,United States,43889,17,0
USA,North America,United States,43890,25,8
USA,North America,United States,43891,32,7
USA,North America,United States,43892,55,23
USA,North America,United States,43893,74,19
USA,North America,United States,43894,107,33
USA,North America,United States,43895,184,77
USA,North America,United States,43896,237,53
USA,North America,United States,43897,403,166
USA,North America,United States,43898,519,116
USA,North America,United States,43899,594,75
USA,North America,United States,43900,782,188
USA,North America,United States,43901,1147,365
USA,North America,United States,43902,1586,439
USA,North America,United States,43903,2219,633
USA,North America,United States,43904,2978,759
USA,North America,United States,43905,3212,234
USA,North America,United States,43906,4679,1467
USA,North America,United States,43907,6512,1833
USA,North America,United States,43908,9169,2657
USA,North America,United States,43909,13663,4494
USA,North America,United States,43910,20030,6367
USA,North America,United States,43911,26025,5995
USA,North America,United States,43912,34898,8873
